Size,First_mean,First_std,Last_mean,Last_std,Middle_mean,Middle_std,Random_mean,Random_std
3480,2345.68,319.62,2254.53,229.17,42.0933,21.6469,108.143,42.5587
3490,2578.19,497.463,2350.72,308.923,41.2567,8.92967,99.7233,8.58494
3500,2397.01,339.887,2408.16,354.485,40.7,8.17389,99.0233,8.61753
3510,2472.74,455.254,2388.12,303,41.42,9.68705,100.663,11.6574
3520,2414.85,305.537,2445.26,295.314,46.6467,18.7616,101.787,12.9371
3530,2450.59,280.113,2399.68,310.494,40.06,7.93676,101.38,10.9812
3540,2447.46,288.329,2473.48,375.658,41.1467,10.4523,106.03,33.0541
3550,2492.18,351.288,2460.94,332.448,40.4,6.94148,104.387,12.2217
3560,2429.77,262.172,2457.6,302.458,42.8733,13.6047,108.53,26.0972
3570,2542.46,414.582,2458.84,332.067,39.3067,5.94938,102.013,10.2068
3580,2574.5,501.061,2543.71,487.468,43.1433,9.14408,106.55,19.9963
3590,2462.97,296.686,2530.24,346.025,39.4467,5.40254,100.907,9.27581
3600,2569.57,368.129,2682.25,411.574,45.6533,21.196,109.18,24.7114
3610,2764.75,488.713,2694.5,417.092,43.5167,9.55334,107.433,17.389
3620,2662.04,439.409,2656.16,405.506,40.25,3.45311,109.963,25.6895
3630,2962.03,682.959,2661.72,461.131,44.3233,10.1242,113.22,31.266
3640,2736.77,547.536,2627.69,373.83,46.34,28.1625,114.213,39.9547
3650,2729.43,452.396,2648.7,399.575,46.9267,30.2983,110.383,24.7911
3660,2864.07,513.299,2714.18,435.122,49.9933,33.4355,108.427,17.9719
3670,2843.47,489.497,2905.52,562.474,41.57,6.20462,106.76,14.9439
3680,2889.94,491.563,2871.06,473.471,47.5333,18.9764,113.31,22.0258
3690,2960.02,484.819,2844.59,505.276,45.0467,10.3279,123.15,46.4381
3700,2755.1,462.915,2881.29,555.788,42.8733,9.08261,113.243,23.5615
3710,2810.85,393.435,2738.13,364.492,47.67,20.9123,110.063,16.3375
3720,2783.4,395.7,2761.7,333.51,60.74,53.5718,124.057,55.1239
3730,2950.56,501.431,2760.81,622.521,43.8633,12.0366,109.613,10.9647
3740,2831.17,388.731,2767.06,438.306,49.7467,30.9525,118.503,54.8831
3750,3209.15,689.082,3004.08,547.686,46.92,15.8656,116.39,31.2048
3760,3001.13,545.595,2881.32,541.23,45.8433,10.6849,112.813,17.8502
3770,2701.77,223.013,2745.49,356.493,42.91,9.48488,108.143,12.4047
3780,2699.33,308.43,2725.25,318.281,41.74,5.06187,108.48,14.773
3790,2849.46,402.842,2709.44,301.902,44.9567,10.1008,110.603,10.6048
3800,2900.3,419.896,2728.43,300.123,43.7033,7.85241,111.547,20.5038
3810,3068.44,558.93,3001.77,588.975,47.2267,17.0248,115.58,25.3283
3820,2882.89,468.357,2858.5,348.205,41.2533,5.45342,110.677,15.7832
3830,2959.94,392.373,2894.82,421.072,47.85,16.079,123.36,49.7072
3840,2929.99,412.576,2854.17,320.228,42.0167,5.57854,110.027,11.6363
3850,2944.47,389.684,2930.92,364.27,43.7867,9.92134,111.567,11.8412
3860,2958.86,333.603,2911.55,297.773,48.5433,18.0774,117.43,18.1128
3870,2951.26,361.922,2926.68,476.724,47.3533,16.0687,115.357,17.365
3880,2922.98,321.449,3051.23,467.407,45.7533,13.1186,113.717,13.0142
3890,3002.47,322.281,2893.32,297.319,48.4667,15.6833,125.167,46.3945
3900,3066.78,359.734,3063.19,658.007,47.5467,12.6114,113.553,12.4057
3910,3001.38,377.389,2992.55,435.293,42.1733,3.77459,113.737,14.9201
3920,3307.27,526.943,3034.43,399.197,42.89,4.74846,112.84,7.90389
3930,3012.43,357.529,3389.18,516.463,55.47,24.2171,126.69,31.8141
3940,3244.39,537.856,3071.13,466.4,43.33,4.00286,113.61,12.8546
3950,3243.01,508.692,3199.61,467.443,43.7433,6.30302,119.44,30.3112
3960,3216.88,484.881,3338.84,561.398,43.4533,4.24473,114.873,9.03716
3970,3266.45,484.061,3452.68,599.828,49.4567,9.69855,114.82,9.89292
3980,2967.04,257.634,3767.12,322.167,51.8967,21.0889,122.5,17.8201
3990,3255.23,564.46,3480.59,434.379,50.2733,19.2417,124.943,42.5043
4000,3334.56,542.722,3195.16,371.87,52.79,21.953,133.08,38.0128
4010,3176.35,440.98,3248.64,418.414,52.3433,23.6305,122.737,31.9645
4020,3418.83,506.09,3092.25,437.566,47.1167,13.2546,118.19,21.6074
4030,3967.33,1023.79,3529.8,795.472,53.1167,12.5628,131.533,37.8721
4040,3244.68,717.245,3472.91,385.759,50.8667,18.7748,129.473,28.031
4050,3171.15,355.112,3036.57,247.036,43.0567,2.69222,116.863,14.5034
4060,3091.4,367.755,3124.51,285.481,46.0733,7.74303,121.243,34.8552
4070,3080.7,272.088,3225.78,373.132,43.2767,1.22663,116.193,9.34865
4080,3740.55,910.118,3825.51,915.122,60.2133,37.5681,160.503,124.888
4090,4369.85,1492.76,4383.57,2328.86,68.37,42.7891,149.437,70.3973
4100,3457.14,426.021,3061.84,211.794,45.6733,7.93699,115.153,8.82065
4110,3536.1,511.174,3372.63,461.309,47.38,7.40654,124.567,46.1102
4120,3649.57,417.282,3242.24,421.546,45.3367,6.37741,123.9,27.4356
4130,4006.88,617.641,3876.29,820.69,56.49,17.9634,141.443,47.546
4140,3309.5,472.344,3162.85,272.911,49.9667,12.5318,125.08,21.0526
4150,3206.87,264.346,3423.43,360.353,51.81,17.5178,123.65,22.8204
4160,3592.95,458.716,3522.79,495.536,48.0133,7.68459,118.097,7.88668
4170,3848.84,1228.66,4034.8,955.336,54.6233,16.6252,130.263,22.5495
4180,3276.57,306.682,3257.77,294.561,50.3333,13.1087,118.503,9.16968
4190,3373.73,358.736,3292.5,317.103,46.8367,9.06073,119.137,23.7345
4200,3282.7,474.807,3532.19,330.072,45.0133,2.52965,118.93,6.62509
4210,3846.85,549.689,3811.73,491.089,55.0667,17.1649,135.237,30.9948
4220,4133.7,622.953,4104.62,879.883,67.3633,50.6194,140.707,39.8749
4230,3868.45,538.744,3773.78,536.737,59.9567,22.7843,136.473,39.0045
4240,3522.93,378.24,3870.01,601.517,48.5367,8.86413,125.12,14.357
4250,3550.02,472.985,3620.18,393.349,47.2767,7.20324,123.39,11.4169
4260,3589.48,435.713,3530.08,402.699,60.7033,26.5343,135.25,33.859
4270,3725.91,541.233,3654.39,643.523,50.76,12.0103,127.873,21.1442
4280,4073.3,782.008,3823.07,564.709,49.9833,9.56156,131.583,17.852
4290,3858.11,816.442,3836.21,647.693,57.7967,17.937,132.857,20.9887
4300,3589.4,351.166,3536.16,358.424,51.4267,13.7844,122.667,14.3008
4310,3536.63,403.712,3663.4,359.095,53.7333,17.9472,129.027,17.9007
4320,3749.83,404.859,3877.59,421.84,52.2133,11.8333,134.203,44.5318
4330,3901.62,437.128,3897.07,422.154,55.7567,14.6481,133.64,23.7099
4340,4077.53,592.558,3979.82,629.637,63.6433,30.1487,136.883,35.4688
4350,3980.89,592.037,4036.78,437.009,54.81,13.7788,141.127,61.5879
4360,4446.21,712.936,4186.48,680.994,55.59,19.2868,137.253,35.999
4370,4445.41,1024.97,4286.13,785.047,61.2133,20.3713,138.487,29.2062
4380,3897.74,475.941,3703.25,394.512,53.5533,11.4856,127.483,12.0612
4390,3817.04,447.959,3731.86,383.113,53.26,21.3195,133.397,30.262
4400,3782.46,471.84,3839.49,400.247,56.1067,24.4607,138.377,41.6281
4410,3858.99,372.97,3689.81,390.358,56.34,22.4252,134.533,29.1442
4420,3835.39,343.496,3819.1,326.368,55.3167,18.167,138.847,35.696
4430,4003.5,478.416,4109.48,666.568,57.37,24.8434,133.927,25.1128
4440,4288.75,708.434,4275.6,652.948,59.12,20.3408,144.823,42.1795
4450,4249.04,467.659,4224.22,595.972,53.24,11.3447,139.443,40.5892
4460,4066.45,575.387,4069.17,448.928,64.7133,33.5488,150.433,54.1409
4470,4134.44,662.539,3984.31,405.805,53.3,13.7983,129.283,14.8705
4480,4114.05,457.823,4023.71,442.528,54.7367,11.8299,129.453,12.3097
4490,4300.28,788.525,4525.12,941.083,55.74,16.8237,134.82,17.3713
4500,4467.79,745.998,4173.99,742.291,59.1333,19.4062,145.2,33.041
4510,4017.11,531.271,3898.37,374.562,51.1467,8.7654,135.087,29.4704
4520,4166.86,708.64,4036.78,611.665,56.26,16.7465,130.377,10.912
4530,4339.58,763.346,4310.39,566.094,57.69,15.9892,144.977,68.7724
4540,4371.38,527.537,4412.43,583.144,61.5167,21.0851,148.617,49.9274
4550,4458.96,558.03,4494.06,646.832,54.9767,14.845,134.52,17.5899
4560,4584.66,826.102,4399.85,710.781,56.6233,13.6244,143.17,27.8197
4570,4602.33,804.878,4699.13,760.663,63.69,38.6781,148.4,47.7217
4580,4392.35,514.756,4380.97,537.079,64.3267,27.2094,144.86,43.3236
4590,4115.77,381.381,4166.85,386.667,51.8333,10.0329,136.75,28.9489
4600,4445.15,877.029,4452.06,844.226,56.5833,16.2094,141.897,26.3002
4610,4321.13,534.745,4338.01,490.449,57.23,19.9934,136.53,13.7088
4620,4659.26,1082.38,4499.4,873.257,63.7533,27.4111,144.357,34.6996
4630,4426.85,490.094,4434.34,534.565,54.3267,10.2409,133.95,9.89931
4640,4518.92,515.941,4392.96,575.227,52.18,9.66895,144.833,36.0954
4650,4499.45,570.251,4534.14,452.768,61.6167,30.569,141.023,27.6371
4660,4460.34,601.328,4440.11,793.677,58.08,15.7098,138.5,17.6309
4670,4326.68,630.796,4323.97,578.641,54.2367,10.3646,138.12,22.0418
4680,4275.05,503.313,4286.59,424.895,59.2867,14.4303,138.967,17.2002
4690,4697.91,827.485,4584.19,763.8,64.2133,27.0452,140.24,18.9391
4700,4366.72,589.553,4330.81,417.6,53.22,9.27847,135.697,13.1967
4710,4551.04,550.516,4382.32,472.758,57.8667,13.0524,152.63,55.7991
4720,4497.66,851.969,4215.52,478.634,57.06,18.3815,146.887,38.4355
4730,4319.55,436.799,4353.26,406.099,54.2167,12.9033,139.69,18.2239
4740,4959.42,1676.9,4762.02,1034.97,57.85,13.4526,143.67,25.1482
4750,4654.44,547.355,4943.9,1376.03,66.6367,26.0837,155.683,49.1662
4760,4403.33,376.993,4359.12,373.355,53.5833,7.94972,135.46,11.0826
4770,4582.78,414.927,4709.81,570.832,60.6467,26.6615,147.817,25.641
4780,4694.48,551.792,4725.22,540.777,66.54,28.0983,150.007,28.2558
4790,4562.88,534.227,4615.38,476.213,65.1,43.7808,139.81,14.4791
4800,4861.21,516.053,4735.98,551.732,60.0733,18.4427,153.37,31.6715
4810,4601.5,414.764,4583.18,542.24,62.1167,27.3764,145.79,37.0592
4820,4723.59,496.831,4683.36,517.275,58.99,20.998,150.377,48.1283
4830,4870.93,978.933,4828.55,637.455,58.8633,23.5973,145.193,23.766
4840,4697.2,436.258,4603.81,424.938,56.6067,9.94651,141.623,36.8149
4850,4412.76,322.875,4637.01,360.339,64.1833,29.1877,145.72,17.5871
4860,4566.54,530.476,4501.02,428.237,57.6533,12.7619,139.687,14.2457
4870,4702.86,445.692,4691.69,477.894,60.4033,19.1368,143.847,24.0287
4880,5240.29,744.001,5159.6,719.602,65.4467,48.1935,153.847,55.1612
4890,4966.61,610.585,5051.29,484.545,54.61,6.6477,143.49,13.0549
4900,4845.8,470.814,4728.09,475.645,57.21,13.7843,145.083,18.113
4910,5121.75,784.71,5453.31,1059.67,71.2133,30.4197,156.583,30.1673
4920,4863.43,489.561,4976.38,421.143,65.4967,23.8598,156.447,40.5214
4930,5284.03,642.041,5312.51,509.353,72.2433,29.396,172.283,53.8896
4940,5164.87,813.835,5081.24,529.378,58.5767,12.2026,144.897,15.6758
4950,4994.75,589.593,5132.22,898.728,59.4733,13.9854,148.66,20.6686
4960,6486.03,1566.75,6298.6,1277.87,72.11,23.8241,157.07,21.0245
4970,6664.27,1439.03,7057.53,1255.1,84.3267,29.3474,174.537,37.7712
4980,6435.36,1374.5,6780.68,1111.52,74.86,29.5412,172.133,33.4302
4990,6508.9,867.419,6412.88,948.084,73.56,19.2618,184.59,52.8465
5000,10575,2249.23,10972.5,2222.31,134.82,64.1231,277.293,99.3333
