Size,First_mean,First_std,Last_mean,Last_std,Middle_mean,Middle_std,Random_mean,Random_std
790,160.02,66.145,158.8,57.7587,8.69,1.9586,22.71,2.17563
800,154.627,47.8593,150.113,49.6829,12.95,18.3151,23.85,7.41572
810,175.653,61.224,169.88,58.3503,10.97,5.50261,25.81,6.74886
820,216.8,111.145,203.593,68.9332,11.27,3.04678,25.6633,5.17557
830,197.357,109.17,182.783,64.9681,11.2467,5.25998,27.48,8.68119
840,175.037,49.5773,172.287,54.7839,9.29333,2.31962,23.8167,2.15872
850,186.673,74.1838,174.447,76.6377,9.42333,2.77957,24.28,4.39635
860,178.437,44.4945,174.32,82.0417,9.30667,2.19355,24.5467,2.07293
870,192.943,56.76,178.663,89.3741,9.43,2.73195,24.8233,3.22765
880,194.1,65.5072,178.98,48.5592,13.02,16.0682,26.1833,6.23091
890,208.757,88.8241,203.843,77.1552,10.9733,3.44963,26.42,3.3908
900,230.617,72.8562,229.033,77.0954,11.4667,3.46821,26.78,3.37868
910,220.96,94.4704,208.5,74.2618,12.4633,13.0159,26.3433,3.58846
920,218.41,67.3553,204.217,59.4361,11.0933,3.19179,27.7933,4.00111
930,212.74,62.2828,210.26,70.3758,11.3667,3.42137,27.72,3.45168
940,229.467,75.279,231.88,106.751,13.3367,7.62815,30.1367,10.0286
950,217.02,65.324,245.437,195.384,11.2733,3.45443,29.7433,8.28375
960,213.897,60.6555,216.43,66.2066,10.2867,2.28937,28.9533,6.90591
970,246.53,113.138,251.47,120.695,10.9233,3.07186,29.2267,5.55896
980,242.307,116.344,218.133,63.1979,11.35,3.12341,28.35,2.93478
990,259.677,87.1776,258.213,117.205,12.5867,4.49872,31.5933,7.4595
1000,274.673,122.015,250.807,82.4205,11.97,3.70211,37.4067,23.6849
1010,237.487,77.763,238.163,128.757,10.9167,2.12783,29.69,4.72056
1020,244.867,107.571,235.377,62.0325,11.8667,3.10609,29.08,3.4256
1030,261.56,80.7495,260.517,121.709,12.4867,4.86612,29.93,3.86399
1040,251.683,83.3714,238.83,63.7447,11.5567,2.94041,31.3267,5.94619
1050,281.497,116.174,271.987,115.811,12.8933,5.67389,37.5567,28.12
1060,259.323,74.3164,253.483,63.3993,13.1633,3.91315,31.8933,5.42338
1070,296.903,92.1364,289.763,134.294,12.6167,3.19688,37.43,23.0338
1080,285.443,91.4743,291.113,106.926,12.0367,2.84441,34.65,13.4914
1090,354.16,134.252,304.947,110.104,17.27,16.9972,38.3633,13.2649
1100,277.947,91.0532,274.863,78.4628,12.0133,2.52118,32.36,7.79874
1110,304.02,105.83,266.96,77.6076,12.3233,2.38973,31.5533,3.35639
1120,278.863,90.8963,275.337,66.6946,14.5967,12.629,31.27,2.26657
1130,280.983,64.1994,286.39,118.351,13.51,5.20711,32.1233,3.20675
1140,326.18,100.133,305.523,114.415,14.2167,4.25547,35.6267,7.07691
1150,340.253,107.929,334.02,141.802,16.56,8.58365,34.6333,5.02088
1160,302.827,109.06,275.037,68.7385,12.5133,2.6921,33.19,5.1697
1170,379.723,121.809,382.277,169.746,16.77,6.65775,37.94,11.04
1180,380.25,111.777,373.24,129.505,15.9133,5.84033,36.3233,5.4386
1190,310.927,70.6653,300.643,75.9919,13.2433,2.8511,35.5533,11.4565
1200,331.96,100.366,324.837,131.08,15.94,10.1698,35.7567,5.97435
1210,328.917,120.606,319.113,88.5121,13.1367,2.95255,35.1633,6.08064
1220,343.073,73.9341,322.053,59.993,13.6833,4.31102,35.5333,6.6634
1230,332.65,73.8246,329.553,93.3569,13.9667,3.51934,35.9567,5.0944
1240,359.533,130.913,360.387,147.158,15.1767,6.80292,38.75,8.4981
1250,408.403,133.985,403.347,124.4,16.3467,5.05199,40.3467,9.18468
1260,351.27,74.1727,344.74,74.9409,15.1433,5.0543,36.2533,4.62092
1270,349.837,69.5763,337.83,79.7404,13.54,2.90025,34.8267,2.75041
1280,368.847,118.486,334.827,75.6664,13.96,3.4524,36.46,7.40711
1290,357.307,92.0643,364.067,140.049,15.0533,7.2959,37.3333,7.62185
1300,386.037,113.074,356.057,85.458,13.7733,2.12407,35.6667,2.3376
1310,377.293,103.927,357.21,107.573,16.05,6.54411,37.7967,9.31867
1320,379.05,107.576,333.507,53.896,14.1333,2.86204,37.2767,4.20711
1330,440,161.224,378.46,98.9601,16.3467,5.8045,39.6133,8.81495
1340,373.89,96.2919,361.65,83.3064,14.2967,3.25867,36.91,4.58914
1350,415.593,98.3786,448.257,228.163,17.37,7.63857,41.6467,11.2792
1360,396.34,90.5092,386.89,101.552,14.75,3.43609,38.0933,5.43862
1370,413.713,121.549,365.937,56.8019,14.5833,2.64993,37.5167,2.61693
1380,403.103,87.3775,390.65,79.8518,15.62,4.32526,42.6,13.3378
1390,450.04,131.341,418.987,96.1907,15.41,3.78803,41.2033,9.36941
1400,456.817,140.511,469.293,193.461,18.3267,7.65646,41.6733,6.16094
1410,437.247,107.944,402.777,91.9556,14.7533,2.65314,38.46,3.39346
1420,426.747,124.221,432.283,144.974,22.1333,34.1538,41.5667,14.9776
1430,515.02,221.191,489.373,155.362,18.7633,5.74231,43.2767,8.88799
1440,590.107,214.307,539.057,205.693,19.9967,6.42519,47.99,12.3028
1450,501.153,154.914,480.897,132.523,17.1233,4.33921,42.9633,6.18722
1460,484.63,109.769,445.697,106.573,16.0733,4.32379,40.99,3.57089
1470,512.09,187.569,453.657,114.791,17.0467,4.13803,46.5633,15.986
1480,497.727,175.466,474.487,140.212,20.3167,12.4576,44.38,9.30378
1490,486.733,126.003,476.463,162.708,16.4833,3.32743,43.7967,8.64948
1500,532.643,205.523,507.547,203.631,17.05,3.50436,45.62,11.7232
1510,538.99,178.732,534.45,208.966,18.6167,7.03259,50.6367,31.9042
1520,541.707,227.696,496.267,148.562,16.82,2.81601,43.0867,3.83961
