Size,First,Last,Middle,Random
1610,1154.13,3872.7,42.5,139.633
1620,1256.63,3987.3,40.1333,121.8
1630,1204.93,3994.83,48.3,128.7
1640,1285.97,4021.6,45.5667,116.133
1650,1393.77,4260.47,48.3333,145.167
1660,1259.37,3797.9,43.7667,119.667
1670,1410.6,4173.53,40.0667,126.733
1680,1319.73,4172.63,37.8,119.5
1690,1414.77,4094.1,42.2333,123.933
1700,1061.07,3252.97,34.4667,106.033
1710,1027.4,2799.57,31.2333,98.9
1720,599.933,1656.57,19.3667,66.1333
1730,651.1,1811.47,22,69.4
1740,615.933,1909.73,19.7333,64.4667
1750,651.067,1803.83,18,65.9667
1760,653.933,1934.53,18.9667,67.3333
1770,747,1998.93,20.9333,69.9
1780,645.4,1889.73,20,68.2667
1790,717.467,2158.83,20.9667,69.7667
1800,669.433,2104.3,21.2,69.8667
1810,743.6,2139.27,22.1333,73.2
1820,714.767,2136.23,20.6333,71.2667
1830,764.033,2252.43,23.0333,78.8667
1840,696.633,2137.57,20.6,69.6667
1850,655.033,1988,20.4333,69.4667
1860,703.7,2205.87,23,75
1870,717.933,2217.57,20.9667,72.1
1880,698.167,2054.9,19.1,71.3
1890,798.8,2293.93,25,82.9
1900,767.9,2245.03,26.0333,76.7333
1910,795.7,2236.23,22.2,75
1920,897.767,2304.83,20.5667,74.0667
1930,787.867,2284.9,21.0667,76.8
1940,772.867,2286.47,21.7333,78.6333
1950,850,2301,22.4667,87.9
1960,807.567,2261.77,20.8667,83.6333
1970,822.433,2505.5,22.4667,77.2667
1980,801.933,2386.23,21.7667,77.2333
1990,1012.73,3167.4,24.6667,84.2333
2000,783.9,2349.97,23.8,84.1333
2010,772.333,2286.4,21.7333,74.4667
2020,793.867,2201.23,20.2667,75.7667
2030,869.267,2583.6,24.9667,81.7667
2040,912.067,2485.13,21.2333,78.8
2050,941.367,2478.83,27.3333,95.0667
2060,811.467,2432.87,23.3667,81.3333
2070,970.733,2525.57,24.5333,87.7667
2080,888.033,2707.63,22.1667,76.9667
2090,1056.13,2759.67,29.2,92.8
2100,846.533,2565.67,20.9667,77.0333
2110,918.333,2733.5,25.6,86.1
2120,1083.9,2829.17,30.8,96.4
2130,929.667,2752.3,24.2667,86.8
2140,1055.87,3285.4,27.9667,89.2667
2150,982.033,2762.9,24.2667,86.3
2160,1038.87,2870.33,24.2667,93.3333
2170,947.133,2815.03,27.1333,87.7
2180,1062.03,2925.13,25.2333,88.0333
2190,1050.87,3131.63,25.9,85.5667
2200,1053.53,2912.47,27.2667,92.4333
2210,936.2,2976.6,27.9,85.4667
2220,943.633,2837.43,26.3,87.3333
2230,963.1,2736.37,23.9667,85.4667
2240,1008.97,2891.37,23.5667,84.1
2250,1024.83,3034.97,26.9,86.9333
2260,1036.97,3014.9,25.8333,88.3667
2270,1070.4,3103.5,23.4667,88.7333
2280,1017.13,3049.87,25.6333,87.0667
2290,1006.4,2981.37,26.7,89.1333
2300,1043.27,3068.37,25.7667,86.3667
2310,1055.77,3236.4,26.7333,88.8
2320,1133.4,3639.3,29.3667,96.4667
2330,1234.77,3728.9,30,103.567
2340,1216.23,3514,30.2333,102.133
2350,1215.07,3450.17,30.6333,98.6667
2360,1099.53,3191.57,24,87.2667
2370,1058.53,3215.97,26,86.8333
2380,1078.97,3249.6,32.9333,98.7333
2390,1089.5,3423.53,28.0667,93.2333
2400,1319.27,3451.87,33.0333,102.467
2410,1133.03,3523.43,31.1333,106.2
2420,1196.73,3533.07,30.9,97.7333
2430,1239.93,3549.33,29.9667,113.033
2440,1213,3364.07,28.2667,93.9667
2450,1159.27,3615.2,31.3,102.933
2460,1292.97,3672.7,27.1333,93.2333
2470,1274.77,3606.53,27.2667,101.867
2480,1256.27,3764.17,30.1667,102.9
2490,1314.87,3672.67,29.1333,97.1
2500,1286.37,3710.97,30.2333,101.833
2510,1188.6,3668.37,30.5,99
2520,1257.33,3592.43,30.1667,98.9
2530,1510.4,4060.97,31.9,98.0667
2540,1514.83,4451.43,32.2,105.4
2550,1209,3794.9,27.7333,97.2
2560,1258.1,3703.83,30.3667,101.3
2570,1336.57,4089.3,29.7667,101.867
2580,1246.43,3773.2,30.7,100.8
2590,1241.43,3970.3,32.5333,104
2600,1303.67,4154.57,31.4667,110.2
2610,1318.23,3872.47,30.4,100.133
